2019-05-13 01:37:37,331 INFO  [org.apache.catalina.startup.Embedded] Catalina naming disabled
2019-05-13 01:37:37,347 INFO  [org.apache.catalina.startup.ClusterRuleSetFactory] Unable to find a cluster rule set in the classpath. Will load the default rule set.
2019-05-13 01:37:37,349 INFO  [org.apache.catalina.startup.ClusterRuleSetFactory] Unable to find a cluster rule set in the classpath. Will load the default rule set.
2019-05-13 01:37:37,457 INFO  [org.apache.coyote.http11.Http11BaseProtocol] Initializing Coyote HTTP/1.1 on http-0.0.0.0-8080
2019-05-13 01:37:37,457 INFO  [org.apache.catalina.startup.Catalina] Initialization processed in 108 ms
2019-05-13 01:37:37,457 INFO  [org.jboss.web.tomcat.tc5.StandardService] Starting service jboss.web
2019-05-13 01:37:37,459 INFO  [org.apache.catalina.core.StandardEngine] Starting Servlet Engine: Apache Tomcat/5.5.20
2019-05-13 01:37:37,473 INFO  [org.apache.catalina.core.StandardHost] XML validation disabled
2019-05-13 01:37:37,487 INFO  [org.apache.catalina.startup.Catalina] Server startup in 30 ms
2019-05-13 01:37:37,574 INFO  [org.jboss.web.tomcat.tc5.TomcatDeployer] deploy, ctxPath=/, warUrl=.../deploy/jbossweb-tomcat55.sar/ROOT.war/
2019-05-13 01:37:37,798 INFO  [org.apache.catalina.loader.WebappLoader] Dual registration of jndi stream handler: factory already defined
2019-05-13 01:37:38,189 INFO  [org.jboss.resource.deployment.RARDeployment] Required license terms exist, view META-INF/ra.xml in .../deploy/jboss-local-jdbc.rar
2019-05-13 01:37:38,354 INFO  [org.jboss.resource.adapter.jdbc.remote.WrapperDataSourceService] Bound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=geplanes_bsc_PostgreSQLDS' to JNDI name 'java:geplanes_bsc_PostgreSQLDS'
2019-05-13 01:37:38,376 INFO  [org.jboss.resource.adapter.jdbc.remote.WrapperDataSourceService] Bound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=localhost_geplanes_bsc_PostgreSQLDS' to JNDI name 'java:localhost_geplanes_bsc_PostgreSQLDS'
2019-05-13 01:37:38,387 INFO  [org.jboss.resource.adapter.jdbc.remote.WrapperDataSourceService] Bound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=127.0.0.1_geplanes_bsc_PostgreSQLDS' to JNDI name 'java:127.0.0.1_geplanes_bsc_PostgreSQLDS'
2019-05-13 01:37:38,606 INFO  [org.jboss.resource.adapter.jdbc.remote.WrapperDataSourceService] Bound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=DefaultDS' to JNDI name 'java:DefaultDS'
2019-05-13 01:37:38,694 INFO  [org.jboss.web.tomcat.tc5.TomcatDeployer] deploy, ctxPath=/geplanes_bsc, warUrl=.../deploy/geplanes_bsc.war/
2019-05-13 01:37:38,816 ERROR [STDERR] log4j:ERROR A "org.jboss.logging.util.OnlyOnceErrorHandler" object is not assignable to a "org.apache.log4j.spi.ErrorHandler" variable.
2019-05-13 01:37:38,816 ERROR [STDERR] log4j:ERROR The class "org.apache.log4j.spi.ErrorHandler" was loaded by 
2019-05-13 01:37:38,816 ERROR [STDERR] log4j:ERROR [WebappClassLoader
  delegate: false
  repositories:
    /WEB-INF/classes/
----------> Parent Classloader:
java.net.FactoryURLClassLoader@7da2eb9b
] whereas object of type 
2019-05-13 01:37:38,816 ERROR [STDERR] log4j:ERROR "org.jboss.logging.util.OnlyOnceErrorHandler" was loaded by [org.jboss.system.server.NoAnnotationURLClassLoader@49670739].
2019-05-13 01:37:38,856 ERROR [STDERR] log4j:ERROR Could not create an Appender. Reported error follows.
2019-05-13 01:37:38,858 ERROR [STDERR] java.lang.ClassCastException: org.jboss.logging.appender.DailyRollingFileAppender cannot be cast to org.apache.log4j.Appender
2019-05-13 01:37:38,859 ERROR [STDERR] 	at org.apache.log4j.xml.DOMConfigurator.parseAppender(DOMConfigurator.java:238)
2019-05-13 01:37:38,859 ERROR [STDERR] 	at org.apache.log4j.xml.DOMConfigurator.findAppenderByName(DOMConfigurator.java:171)
2019-05-13 01:37:38,859 ERROR [STDERR] 	at org.apache.log4j.xml.DOMConfigurator.findAppenderByReference(DOMConfigurator.java:184)
2019-05-13 01:37:38,860 ERROR [STDERR] 	at org.apache.log4j.xml.DOMConfigurator.parseChildrenOfLoggerElement(DOMConfigurator.java:502)
2019-05-13 01:37:38,860 ERROR [STDERR] 	at org.apache.log4j.xml.DOMConfigurator.parseRoot(DOMConfigurator.java:471)
2019-05-13 01:37:38,860 ERROR [STDERR] 	at org.apache.log4j.xml.DOMConfigurator.parse(DOMConfigurator.java:921)
2019-05-13 01:37:38,861 ERROR [STDERR] 	at org.apache.log4j.xml.DOMConfigurator.doConfigure(DOMConfigurator.java:790)
2019-05-13 01:37:38,861 ERROR [STDERR] 	at org.apache.log4j.xml.DOMConfigurator.doConfigure(DOMConfigurator.java:696)
2019-05-13 01:37:38,861 ERROR [STDERR] 	at org.apache.log4j.helpers.OptionConverter.selectAndConfigure(OptionConverter.java:471)
2019-05-13 01:37:38,862 ERROR [STDERR] 	at org.apache.log4j.LogManager.<clinit>(LogManager.java:125)
2019-05-13 01:37:38,862 ERROR [STDERR] 	at org.apache.log4j.Logger.getLogger(Logger.java:105)
2019-05-13 01:37:38,862 ERROR [STDERR] 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
2019-05-13 01:37:38,862 ERROR [STDERR] 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
2019-05-13 01:37:38,862 ERROR [STDERR] 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2019-05-13 01:37:38,862 ERROR [STDERR] 	at java.lang.reflect.Method.invoke(Method.java:498)
2019-05-13 01:37:38,862 ERROR [STDERR] 	at org.apache.commons.logging.impl.Log4jProxy.<init>(Log4jProxy.java:132)
2019-05-13 01:37:38,862 ERROR [STDERR] 	at org.apache.commons.logging.impl.Log4JLogger.<init>(Log4JLogger.java:39)
2019-05-13 01:37:38,863 ERROR [STDERR] 	at sun.reflect.GeneratedConstructorAccessor21.newInstance(Unknown Source)
2019-05-13 01:37:38,863 ERROR [STDERR] 	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45)
2019-05-13 01:37:38,863 ERROR [STDERR] 	at java.lang.reflect.Constructor.newInstance(Constructor.java:423)
2019-05-13 01:37:38,863 ERROR [STDERR] 	at org.apache.commons.logging.impl.LogFactoryImpl.newInstance(LogFactoryImpl.java:529)
2019-05-13 01:37:38,863 ERROR [STDERR] 	at org.apache.commons.logging.impl.LogFactoryImpl.getInstance(LogFactoryImpl.java:235)
2019-05-13 01:37:38,864 ERROR [STDERR] 	at org.apache.commons.logging.LogFactory.getLog(LogFactory.java:372)
2019-05-13 01:37:38,864 ERROR [STDERR] 	at org.apache.catalina.core.ContainerBase.getLogger(ContainerBase.java:380)
2019-05-13 01:37:38,864 ERROR [STDERR] 	at org.apache.catalina.core.StandardContext.start(StandardContext.java:4114)
2019-05-13 01:37:38,865 ERROR [STDERR] 	at org.apache.catalina.core.ContainerBase.addChildInternal(ContainerBase.java:759)
2019-05-13 01:37:38,866 ERROR [STDERR] 	at org.apache.catalina.core.ContainerBase.addChild(ContainerBase.java:739)
2019-05-13 01:37:38,866 ERROR [STDERR] 	at org.apache.catalina.core.StandardHost.addChild(StandardHost.java:524)
2019-05-13 01:37:38,866 ERROR [STDERR] 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
2019-05-13 01:37:38,866 ERROR [STDERR] 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
